"ID","时间","日降水量","flag","降水历时","天气状况","时段长","时段降水量","测站编码","时间戳"
"235","2018-04-12 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"236","2018-04-11 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"237","2018-04-10 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"238","2018-04-09 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"239","2018-04-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"240","2018-04-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"241","2018-04-06 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"242","2018-04-05 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"243","2018-04-04 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"244","2018-04-03 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"245","2018-04-02 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"246","2018-04-01 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"247","2018-03-31 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"248","2018-03-30 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"249","2018-03-29 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"250","2018-03-28 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"251","2018-03-27 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"252","2018-03-26 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"253","2018-03-25 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"254","2018-03-24 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"255","2018-03-23 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
